Year,Week_Number,mean_return,volatility
2014,00,-0.3365,0.47588286373854655
2014,01,-0.4662,1.552222664439609
2014,02,0.21140000000000003,2.407995078898626
2014,03,0.30025,1.274188467221392
2014,04,0.5653999999999999,1.7218705816640227
2014,05,-0.6706,1.9386425147509792
2014,06,0.5738000000000001,0.38274756694197287
2014,07,0.426,0.22982166999654322
2014,08,0.17640000000000003,0.8829656278700774
2014,09,-0.20920000000000005,1.1753830014084772
2014,10,-0.10359999999999998,0.696547055122624
2014,11,1.2878,2.004516949292273
2014,12,0.07919999999999998,1.5468471805579245
2014,13,-0.20199999999999996,1.7507119980168069
2014,14,-0.3236,1.5686399523153807
2014,15,0.512,1.2488431980570391
2014,16,-0.04940000000000001,0.4459140051624304
2014,17,-0.10260000000000005,1.4284835665838092
2014,18,-0.07299999999999998,0.79170322722596
2014,19,0.29440000000000005,1.3410648008206016
2014,20,0.14840000000000003,0.8945508929066026
2014,21,0.5095000000000001,0.8335492386975909
2014,22,0.2688,1.2826841778083955
2014,23,-0.11700000000000003,0.9673970229435277
2014,24,0.21819999999999995,0.4078923877691272
2014,25,0.275,0.8818134723398141
2014,26,-0.26525000000000004,0.739942058542424
2014,27,0.13979999999999998,0.58104621158734
2014,28,1.215,1.507618486222559
2014,29,-0.08379999999999999,0.5552077989365783
2014,30,-0.7475999999999999,0.37677353941061204
2014,31,0.16179999999999994,0.9583009443802087
2014,32,0.7268000000000001,0.531658913214102
2014,33,0.2874,0.779021373262634
2014,34,0.12520000000000003,0.6416203706242501
2014,35,0.26675,0.9772087375103984
2014,36,0.3438,0.6782390434057892
2014,37,0.354,1.1431509086730414
2014,38,-0.4636000000000001,1.393200380419127
2014,39,-0.1366,0.6199679830442859
2014,40,-0.8854,2.4898137078906126
2014,41,-0.175,1.3742028598427525
2014,42,1.1280000000000001,1.3598512786330719
2014,43,0.35939999999999994,1.281512894979992
2014,44,0.7283999999999999,0.701067971027061
2014,45,0.3696,0.7808138702661473
2014,46,-0.5251999999999999,0.9602008644028602
2014,47,-0.08725,0.593857095604658
2014,48,0.2604,1.2740342617057048
2014,49,-0.6116,0.872595152404596
2014,50,0.328,2.606044224490444
2014,51,0.11775000000000002,0.8279252683666565
2014,52,-1.0053333333333334,0.17902327595408735
2015,00,0.667,0.0
2015,01,0.19680000000000003,1.856465647406383
2015,02,-0.40020000000000006,1.1888934771458712
2015,03,0.513,1.531113973549977
2015,04,-2.9799999999999995,4.2387742921745675
2015,05,0.9787999999999999,0.8691361803538039
2015,06,0.6836,1.042454939074107
2015,07,0.1725,0.4422145030035386
2015,08,-0.003999999999999981,0.435796971077129
2015,09,-0.6862,0.8393570158162734
2015,10,-0.45699999999999996,1.5790197908829389
2015,11,0.7182,0.9476975783444843
2015,12,-0.8992000000000001,1.4088858009079375
2015,13,-0.41600000000000004,0.5719020895223237
2015,14,0.7075999999999999,1.387753148077856
2015,15,-0.044,0.9889464090637066
2015,16,2.9114,4.421513688772206
2015,17,0.3338000000000001,1.211061393984632
2015,18,-0.3613999999999999,1.9634246356812375
2015,19,0.23579999999999987,1.2927336152510307
2015,20,-0.457,0.41700239807463935
2015,21,-0.012750000000000039,1.5150287951058885
2015,22,-0.30720000000000003,0.6936351346349174
2015,23,-0.06759999999999997,1.2627425707562092
2015,24,0.06259999999999999,1.2473749636737144
2015,25,-0.366,0.49095620985990185
2015,26,-0.47374999999999995,1.10860283690779
2015,27,0.09480000000000001,0.3378316148616053
2015,28,0.8897999999999999,1.0476419712859923
2015,29,-0.2774,1.991422180252093
2015,30,0.336,1.3459908989291125
2015,31,0.023600000000000045,1.287324861874422
2015,32,0.1172,1.2392686149499632
2015,33,-1.5744,2.5811691730686697
2015,34,0.4518000000000001,3.7490987850415465
2015,35,-0.5760000000000001,2.8423587915673134
2015,36,0.5215,1.9899273856098367
2015,37,0.00940000000000003,1.5300254246253557
2015,38,0.21280000000000002,0.7275449814272654
2015,39,0.7398,1.4485042975428137
2015,40,0.6724000000000001,1.1906484787711276
2015,41,0.17099999999999999,0.6700664146187302
2015,42,2.2378,4.504832039044297
2015,43,-0.07600000000000003,1.679274099127358
2015,44,0.8534,0.6670242124540908
2015,45,-0.7673999999999999,0.645718824257122
2015,46,0.6454,1.083403110573345
2015,47,-0.11850000000000001,0.6379615975903252
2015,48,0.7375999999999999,1.8540066882295758
2015,49,-0.6658000000000001,1.11743487505984
2015,50,0.04140000000000006,1.960105685926144
2015,51,0.7052499999999999,0.6768073950541614
2015,52,-0.08074999999999993,1.1148337319977362
2016,01,-1.1515999999999997,1.6257553013907107
2016,02,-0.4888,2.662631161088595
2016,03,0.647,2.0391774485479846
2016,04,1.0834,2.9774970696878946
2016,05,-1.8492000000000002,1.4382446592982712
2016,06,0.14099999999999996,1.1858981828133475
2016,07,0.8375,1.6589565997939792
2016,08,-0.18659999999999993,1.9201074969907284
2016,09,0.2964,1.840271936426788
2016,10,0.4124,1.9814755360589238
2016,11,0.16519999999999993,1.3636543550328286
2016,12,0.33549999999999996,0.371022461134992
2016,13,0.5025999999999999,1.215618484558375
2016,14,-0.41320000000000007,1.0204835618470296
2016,15,0.44939999999999997,0.5785194897321956
2016,16,-1.3832,3.3956909017164683
2016,17,-0.7445999999999999,1.0494721530369444
2016,18,0.2132,1.1756643653696406
2016,19,0.2774,1.1324296004608851
2016,20,-0.03420000000000001,1.3476598977486864
2016,21,0.6734,1.6394048615274996
2016,22,-0.24949999999999994,1.1165890022743372
2016,23,-0.11880000000000002,0.5249668560966492
2016,24,-0.5218,1.4253644095458535
2016,25,-0.09539999999999989,2.4716598269179357
2016,26,0.5454,2.0773813564196635
2016,27,0.55525,0.8451766580622853
2016,28,0.5308,0.4465967980180781
2016,29,1.0734,2.609234332136537
2016,30,0.04079999999999999,0.6676044487568967
2016,31,0.4486,0.5071255268668695
2016,32,-0.005800000000000005,0.44645850871049597
2016,33,0.01419999999999999,0.3363163689147467
2016,34,0.1422,0.25735325915946744
2016,35,-0.1236,0.41563902607912073
2016,36,-0.635,1.0125976496121252
2016,37,0.3726,1.1553918382955628
2016,38,0.0662,0.9483030633716206
2016,39,0.06439999999999999,1.1784270448356147
2016,40,0.06999999999999998,0.41856421251702824
2016,41,-0.12899999999999998,0.885524985531182
2016,42,0.7838,1.9781713019857505
2016,43,0.07660000000000003,1.2524076013822338
2016,44,-0.3898,0.36046248071054493
2016,45,0.1204,1.9320498958360264
2016,46,0.5913999999999999,1.5179912055081215
2016,47,0.07725000000000001,0.8768110305723426
2016,48,-0.422,1.0842377506801726
2016,49,0.909,1.34008152737063
2016,50,0.10859999999999999,0.740802470298257
2016,51,0.3042000000000001,1.0346193502926573
2016,52,-0.4365,0.557170530448264
2017,01,0.282,0.6149975609707733
2017,02,-0.0428,0.6679350267803
2017,03,0.016749999999999987,0.47450280996709243
2017,04,0.9536000000000001,0.8377635704660356
2017,05,-0.6436000000000001,0.9020126384923883
2017,06,0.1016,0.5880104590906525
2017,07,0.315,0.48393026357110586
2017,08,0.0002500000000000002,0.28543577794896935
2017,09,-0.10999999999999999,1.1064454347142474
2017,10,0.2116,0.4776057997972805
2017,11,-0.017800000000000017,0.43676446741922587
2017,12,0.036800000000000006,0.8590283464473101
2017,13,0.2696,0.06876990620903883
2017,14,-0.05439999999999999,0.32504122815421427
2017,15,-0.27875,0.16012365013742763
2017,16,0.445,0.7694884664502776
2017,17,0.6148,0.681389536168556
2017,18,0.15960000000000002,0.7337733301231382
2017,19,-0.1788,0.6201598181114284
2017,20,-0.07660000000000007,1.723610251768073
2017,21,0.6628000000000001,0.49002724414056814
2017,22,0.64325,1.3115226202141284
2017,23,-0.399,1.15885439119848
2017,24,-0.08859999999999998,0.8205493891290152
2017,25,0.3482,1.1031979423476097
2017,26,-0.6418,1.3247428807130839
2017,27,0.198,1.3001879351334817
2017,28,0.9396000000000001,0.6385325363675683
2017,29,0.27740000000000004,0.5892930510365789
2017,30,-0.20199999999999996,0.7093401863704044
2017,31,-0.09759999999999998,0.4882702120752402
2017,32,-0.044600000000000015,1.128211549311564
2017,33,0.10879999999999998,1.1662230489919156
2017,34,0.09359999999999999,0.7954682897513891
2017,35,0.3094,0.9521269873288961
2017,36,0.016499999999999987,0.8474017150482211
2017,37,0.3588,0.6793906828916629
2017,38,-0.2386,0.5820707001730975
2017,39,0.025,0.9669108025045537
2017,40,0.40499999999999997,0.8216437792620351
2017,41,0.3896,0.34833145135057786
2017,42,0.33940000000000003,0.48909947863394826
2017,43,1.2696,2.87962155499642
2017,44,0.0804,0.6704448523182202
2017,45,-0.06380000000000001,0.4140038647162608
2017,46,-0.25179999999999997,0.5718423733862331
2017,47,0.26275,0.8929387343672204
2017,48,0.24519999999999995,1.222737788734772
2017,49,-0.002400000000000002,2.290548253148141
2017,50,0.6379999999999999,1.3154402304931987
2017,51,-0.30999999999999994,0.29535741060620097
2017,52,0.009000000000000001,0.2531995260659072
2018,00,0.766,0.3699738729514108
2018,01,0.3206,0.8326174391639897
2018,02,0.11899999999999994,1.4151930374805173
2018,03,0.8896000000000001,0.890440789721585
2018,04,-0.47539999999999993,1.871302834925443
2018,05,-0.7243999999999999,4.256167853832835
2018,06,0.9506,1.0448230950739938
2018,07,0.5645,1.5936981102663914
2018,08,-0.211,1.0863556047630076
2018,09,0.7424,0.9297280785261893
2018,10,-0.39920000000000005,1.2127479952570526
2018,11,-1.6128,1.3901387340837603
2018,12,1.24725,5.054742220595099
2018,13,-0.2042,2.4812347127992544
2018,14,0.6326,1.4796502289392586
2018,15,0.4154,1.2429796056251285
2018,16,0.18519999999999998,1.8297075449371685
2018,17,-0.12539999999999996,1.7569838644677418
2018,18,0.5308,0.7828740000791954
2018,19,-0.18779999999999997,0.6244222930037011
2018,20,0.4142,0.7670871528059898
2018,21,0.61625,1.069643359567415
2018,22,0.16999999999999998,0.9981578031553928
2018,23,-0.29500000000000004,0.7246188653354259
2018,24,0.05819999999999999,0.7987300545240551
2018,25,-0.3536,1.3763525347816963
2018,26,0.645,1.118987339815186
2018,27,0.8333999999999999,0.8934944319916045
2018,28,0.16419999999999996,1.1597754955162658
2018,29,0.2789999999999999,1.9522848152869499
2018,30,0.07379999999999999,1.2969728987145412
2018,31,0.178,0.5108625059641781
2018,32,-0.18160000000000004,0.9695964624522926
2018,33,0.1548,0.8479511778398565
2018,34,0.7164,0.6495554633747607
2018,35,-0.9227500000000001,1.3533694679084005
2018,36,0.9369999999999999,0.540085641356998
2018,37,0.16339999999999996,1.3139006050687396
2018,38,0.0196,0.34499971014480574
2018,39,-0.38980000000000004,1.1389406042458932
2018,40,-0.4168,3.3008152326357196
2018,41,-0.1496,2.072453208156942
2018,42,-0.24860000000000007,4.083814675031177
2018,43,-0.13220000000000004,2.117953894682318
2018,44,0.6528000000000002,2.1713538864035957
2018,45,-0.13500000000000004,1.8523634902469872
2018,46,-1.20825,2.256450512789205
2018,47,1.4882,1.9436026342851052
2018,48,-1.3719999999999999,2.5937171524024483
2018,49,0.2474,2.099190510649284
2018,50,-1.5026,1.8378733090177894
2018,51,0.62325,4.601511517968851
2018,52,1.175,0.0
